target,fold_id,feature,coefficient,absolute_coefficient
detection,17,mask_has_flow_timing_features,0.0,0.0
detection,17,bwd_urg_flags_sum,0.0,0.0
detection,17,bwd_psh_flags_std,0.0,0.0
detection,17,bwd_psh_flags_mean,0.0,0.0
detection,17,fwd_urg_flags_min,0.0,0.0
detection,17,bwd_psh_flags_max,0.0,0.0
detection,17,bwd_psh_flags_sum,0.0,0.0
detection,17,bwd_psh_flags_min,0.0,0.0
detection,17,bwd_urg_flags_min,0.0,0.0
detection,17,bwd_urg_flags_mean,0.0,0.0
detection,17,bwd_urg_flags_std,0.0,0.0
detection,17,mask_has_identity_auth,0.0,0.0
detection,17,ece_flag_cnt_min,0.0,0.0
detection,17,bwd_pkt_len_min_min,0.0,0.0
detection,17,bwd_blk_rate_avg_sum,0.0,0.0
detection,17,bwd_blk_rate_avg_std,0.0,0.0
detection,17,bwd_blk_rate_avg_mean,0.0,0.0
detection,17,bwd_blk_rate_avg_min,0.0,0.0
detection,17,bwd_byts_b_avg_mean,0.0,0.0
detection,17,bwd_blk_rate_avg_max,0.0,0.0
detection,17,fwd_byts_b_avg_std,0.0,0.0
detection,17,fwd_byts_b_avg_sum,0.0,0.0
detection,17,fwd_byts_b_avg_min,0.0,0.0
detection,17,fwd_byts_b_avg_max,0.0,0.0
detection,17,fwd_pkts_b_avg_mean,0.0,0.0
detection,17,fwd_pkts_b_avg_std,0.0,0.0
detection,17,fwd_pkts_b_avg_sum,0.0,0.0
detection,17,fwd_byts_b_avg_mean,0.0,0.0
detection,17,fwd_pkts_b_avg_max,0.0,0.0
detection,17,fwd_blk_rate_avg_mean,0.0,0.0
detection,17,fwd_blk_rate_avg_std,0.0,0.0
detection,17,fwd_blk_rate_avg_sum,0.0,0.0
detection,17,fwd_blk_rate_avg_min,0.0,0.0
detection,17,fwd_blk_rate_avg_max,0.0,0.0
detection,17,bwd_pkts_b_avg_min,0.0,0.0
detection,17,bwd_byts_b_avg_std,0.0,0.0
detection,17,bwd_byts_b_avg_sum,0.0,0.0
detection,17,bwd_byts_b_avg_min,0.0,0.0
detection,17,bwd_byts_b_avg_max,0.0,0.0
detection,17,bwd_pkts_b_avg_mean,0.0,0.0
detection,17,bwd_pkts_b_avg_std,0.0,0.0
detection,17,bwd_pkts_b_avg_sum,0.0,0.0
detection,17,bwd_pkts_b_avg_max,0.0,0.0
detection,17,fwd_pkts_b_avg_min,0.0,0.0
detection,18,window_size_bwd_std,1.8791597660456,1.8791597660456
detection,18,fwd_pkt_len_std_mean,1.84942756757536,1.84942756757536
detection,18,byte_count_bwd_std,-1.7301935521160143,1.7301935521160143
detection,18,bwd_pkt_len_std_mean,-1.7051076593061458,1.7051076593061458
detection,18,fwd_pkt_len_max_std,-1.6092897724530657,1.6092897724530657
detection,18,pkt_tcp_retrans_count,1.477123612782122,1.477123612782122
detection,18,pkt_port_scan_seq_score,1.37640562557372,1.37640562557372
detection,18,bytes_per_sec_mean,-1.346193816759212,1.346193816759212
detection,18,byte_count_fwd_max,1.337397465795139,1.337397465795139
detection,18,bwd_iat_std_mean,1.3315642491039603,1.3315642491039603
detection,18,flow_iat_std_std,-1.2914724885196898,1.2914724885196898
detection,18,bytes_per_sec_max,1.2822350470584003,1.2822350470584003
detection,18,down_up_ratio_std,-1.2095832724318851,1.2095832724318851
detection,18,window_size_fwd_std,-1.159383304486956,1.159383304486956
detection,18,packet_count_bwd_std,1.1441383218539176,1.1441383218539176
detection,18,bwd_iat_max_std,-1.1363786776432827,1.1363786776432827
detection,18,pkt_len_std_mean,-1.045280089879322,1.045280089879322
detection,18,bwd_iat_min_std,-1.0207288139202852,1.0207288139202852
detection,18,bwd_iat_mean_std,1.018396091353098,1.018396091353098
detection,18,ack_flag_cnt_std,1.0075764422819238,1.0075764422819238
detection,18,bwd_seg_size_avg_max,0.9982963274103056,0.9982963274103056
detection,18,bwd_pkt_len_mean_max,0.9982963274100728,0.9982963274100728
detection,18,bytes_per_sec_sum,-0.9462680428359904,0.9462680428359904
detection,18,bwd_pkts_per_sec_sum,-0.9455202042073269,0.9455202042073269
detection,18,bwd_pkt_len_std_std,0.943396905328628,0.943396905328628
detection,18,pkt_len_min_std,0.9420037568100652,0.9420037568100652
detection,18,fwd_seg_size_min_mean,0.9378237684889048,0.9378237684889048
detection,18,urg_flag_cnt_mean,-0.9056796595475596,0.9056796595475596
detection,18,pkt_len_mean_max,-0.864464937272723,0.864464937272723
detection,18,bwd_iat_min_max,0.8599383449271641,0.8599383449271641
detection,18,subflow_bwd_byts_sum,-0.8259446800660444,0.8259446800660444
detection,18,urg_flag_cnt_max,0.8242217726004576,0.8242217726004576
detection,18,bwd_pkt_len_min_mean,0.8210306437712042,0.8210306437712042
detection,18,fwd_pkt_len_std_std,0.8187634447891478,0.8187634447891478
detection,18,bwd_pkt_len_std_max,0.8139619377673672,0.8139619377673672
detection,18,byte_count_bwd_max,-0.7746189620506375,0.7746189620506375
detection,18,pkt_payload_size_p95,-0.7503348485838334,0.7503348485838334
detection,18,active_max_sum,0.7438964198306518,0.7438964198306518
detection,18,bwd_iat_mean_sum,-0.7265113574510055,0.7265113574510055
detection,18,pkt_len_mean_mean,-0.7220011287703778,0.7220011287703778
detection,18,pkt_size_avg_mean,-0.7053244584103112,0.7053244584103112
detection,18,byte_count_fwd_std,-0.7016329940803082,0.7016329940803082
detection,18,bwd_pkt_len_max_std,0.6970587993488682,0.6970587993488682
detection,18,ece_flag_cnt_sum,0.6859282292428976,0.6859282292428976
detection,18,rst_flag_cnt_sum,0.6851071211360789,0.6851071211360789
detection,18,duration_sec_std,0.6775508196301797,0.6775508196301797
detection,18,active_mean_sum,-0.6695523779511628,0.6695523779511628
detection,18,ece_flag_cnt_std,0.6655664324844814,0.6655664324844814
detection,18,fwd_iat_mean_std,-0.6646335000248206,0.6646335000248206
detection,18,bwd_pkts_per_sec_std,0.6638279532115218,0.6638279532115218
detection,18,window_size_bwd_sum,-0.6633818833892164,0.6633818833892164
detection,18,pkt_len_max_mean,-0.6477890981503004,0.6477890981503004
detection,18,rst_flag_cnt_std,0.6418991591574661,0.6418991591574661
detection,18,byte_count_bwd_mean,-0.6390272981848172,0.6390272981848172
detection,18,subflow_bwd_pkts_std,-0.6343922515418039,0.6343922515418039
detection,18,window_size_bwd_mean,-0.622463352055945,0.622463352055945
detection,18,pkt_len_var_sum,0.6137929881064046,0.6137929881064046
detection,18,urg_flag_cnt_std,0.6052659844970024,0.6052659844970024
detection,18,fwd_header_len_max,0.6014560291664102,0.6014560291664102
detection,18,fwd_seg_size_min_std,-0.5949717788675217,0.5949717788675217
detection,18,flow_iat_max_std,-0.5930680488324385,0.5930680488324385
detection,18,pkt_len_std_std,0.5897639075726663,0.5897639075726663
detection,18,bwd_header_len_max,0.5879775874268,0.5879775874268
detection,18,packet_count_bwd_mean,0.5858811988929497,0.5858811988929497
detection,18,pkt_frag_df_count,0.5829042171754045,0.5829042171754045
detection,18,bwd_iat_tot_mean,-0.5821501358597978,0.5821501358597978
detection,18,active_std_sum,-0.5775065802737503,0.5775065802737503
detection,18,pkt_payload_size_p75,-0.5546839568539778,0.5546839568539778
detection,18,packet_count_fwd_mean,0.5468010857777909,0.5468010857777909
detection,18,bwd_iat_mean_mean,0.5448252554423095,0.5448252554423095
detection,18,byte_count_bwd_sum,-0.5428788178869376,0.5428788178869376
detection,18,bwd_pkt_len_mean_sum,0.5367523016995857,0.5367523016995857
detection,18,bwd_seg_size_avg_sum,0.5367523016991644,0.5367523016991644
detection,18,psh_flag_cnt_mean,0.5339292265987836,0.5339292265987836
detection,18,pkt_len_max_std,-0.5248923031459397,0.5248923031459397
detection,18,fwd_pkt_len_max_max,0.5238691161901159,0.5238691161901159
detection,18,bwd_iat_mean_max,-0.5025328501333977,0.5025328501333977
detection,18,down_up_ratio_max,0.490222315071429,0.490222315071429
detection,18,ack_flag_cnt_sum,0.476242401190655,0.476242401190655
detection,18,psh_flag_cnt_max,-0.475088258964032,0.475088258964032
detection,18,flow_iat_std_sum,-0.4729747331367376,0.4729747331367376
detection,18,subflow_bwd_byts_max,0.454912778596067,0.454912778596067
detection,18,active_std_mean,-0.4477869890930003,0.4477869890930003
detection,18,idle_min_std,-0.435808323252874,0.435808323252874
detection,18,fwd_seg_size_avg_sum,0.428844990545449,0.428844990545449
detection,18,fwd_pkt_len_mean_sum,0.428844990545449,0.428844990545449
detection,18,fwd_pkt_len_std_sum,0.4250623215447899,0.4250623215447899
detection,18,fwd_iat_std_mean,0.4166998871624307,0.4166998871624307
detection,18,fwd_pkts_per_sec_max,-0.4101643040231192,0.4101643040231192
detection,18,idle_max_mean,0.4048677726213255,0.4048677726213255
detection,18,active_max_std,0.404634072534543,0.404634072534543
detection,18,idle_std_mean,0.3994659424842007,0.3994659424842007
detection,18,pkt_ttl_max,-0.3959480239703613,0.3959480239703613
detection,18,mask_has_packet_level_features,-0.3959480239703613,0.3959480239703613
detection,18,fwd_iat_min_std,-0.3921671992943745,0.3921671992943745
detection,18,fwd_pkt_len_max_sum,0.3907914183070763,0.3907914183070763
detection,18,pkt_len_mean_sum,0.3886437050267446,0.3886437050267446
detection,18,window_size_bwd_max,0.3807402104717597,0.3807402104717597
detection,18,fwd_iat_std_sum,0.3760114988916622,0.3760114988916622
detection,18,window_size_fwd_mean,0.3708422899079511,0.3708422899079511
detection,18,fwd_iat_max_sum,0.3673634946078902,0.3673634946078902
detection,18,pkt_ttl_std,0.3647386310793432,0.3647386310793432
detection,18,pkt_ttl_mode,0.3611093603399521,0.3611093603399521
detection,18,pkt_len_var_mean,-0.3563246022335464,0.3563246022335464
detection,18,fwd_pkts_per_sec_sum,0.3548764653062169,0.3548764653062169
detection,18,down_up_ratio_mean,0.3481105471171773,0.3481105471171773
detection,18,pkt_len_max_max,0.345067860130973,0.345067860130973
detection,18,fwd_iat_std_std,0.3450090369932461,0.3450090369932461
detection,18,pkt_size_avg_sum,0.3448818086374054,0.3448818086374054
detection,18,packet_count_bwd_max,0.3422473436068972,0.3422473436068972
detection,18,fwd_iat_min_max,0.3413421045699742,0.3413421045699742
detection,18,pkt_size_avg_max,0.3382735323674752,0.3382735323674752
detection,18,down_up_ratio_sum,0.3357569710003505,0.3357569710003505
detection,18,active_min_std,-0.3285799927764189,0.3285799927764189
detection,18,fwd_header_len_std,0.3274404145924295,0.3274404145924295
detection,18,ack_flag_cnt_max,-0.3256164038931073,0.3256164038931073
detection,18,pkt_len_max_sum,0.3244720642253502,0.3244720642253502
detection,18,ece_flag_cnt_max,-0.3179527028634266,0.3179527028634266
detection,18,rst_flag_cnt_max,-0.3179527028634266,0.3179527028634266
detection,18,fwd_urg_flags_std,0.3151862184444516,0.3151862184444516
detection,18,cwe_flag_cnt_std,0.3151862184444516,0.3151862184444516
detection,18,active_mean_std,-0.3140640020216585,0.3140640020216585
detection,18,packets_per_sec_max,-0.3114969306639689,0.3114969306639689
detection,18,pkt_len_min_max,-0.3094036210267387,0.3094036210267387
detection,18,subflow_fwd_pkts_std,0.309173386172608,0.309173386172608
detection,18,fwd_pkts_per_sec_mean,0.3073369758766521,0.3073369758766521
detection,18,pkt_len_std_sum,0.3064516324475113,0.3064516324475113
detection,18,fwd_iat_mean_max,0.3025756076531244,0.3025756076531244
detection,18,flow_iat_min_sum,0.3005683287923409,0.3005683287923409
detection,18,fwd_act_data_pkts_std,0.300160969715103,0.300160969715103
detection,18,packets_per_sec_sum,-0.2924040768483364,0.2924040768483364
detection,18,fwd_iat_tot_std,0.2836941716139388,0.2836941716139388
detection,18,fwd_iat_min_sum,0.2822957187057771,0.2822957187057771
detection,18,flow_iat_max_mean,-0.2796306496428548,0.2796306496428548
detection,18,fwd_iat_max_max,-0.2790867687049243,0.2790867687049243
detection,18,byte_count_fwd_sum,-0.2776883638423017,0.2776883638423017
detection,18,active_std_max,0.2767250857312598,0.2767250857312598
detection,18,duration_sec_sum,-0.2738802600068287,0.2738802600068287
detection,18,duration_microsec_max,0.2718242877701299,0.2718242877701299
detection,18,active_std_std,-0.271278159930378,0.271278159930378
detection,18,pkt_len_mean_std,0.2698594052774896,0.2698594052774896
detection,18,bwd_pkt_len_min_std,-0.2683188505487215,0.2683188505487215
detection,18,fwd_header_len_mean,0.2671933113278392,0.2671933113278392
detection,18,subflow_fwd_pkts_mean,0.2657714200264527,0.2657714200264527
detection,18,fwd_act_data_pkts_mean,0.264666693273921,0.264666693273921
detection,18,subflow_bwd_byts_mean,0.2644083422626461,0.2644083422626461
detection,18,fwd_seg_size_min_sum,0.2633107997398538,0.2633107997398538
detection,18,bwd_pkts_per_sec_mean,-0.2580676264588036,0.2580676264588036
detection,18,bwd_iat_tot_max,-0.2579589488317129,0.2579589488317129
detection,18,idle_mean_std,-0.2546251618624823,0.2546251618624823
detection,18,duration_microsec_std,0.2543211816450196,0.2543211816450196
detection,18,packet_count_fwd_std,-0.249673808620191,0.249673808620191
detection,18,active_max_mean,-0.2484451399308266,0.2484451399308266
detection,18,idle_mean_mean,0.2481356716589245,0.2481356716589245
detection,18,fwd_iat_std_max,0.2473485411887684,0.2473485411887684
detection,18,bwd_iat_std_std,0.240301125864207,0.240301125864207
detection,18,fwd_pkt_len_mean_mean,-0.2389334348204696,0.2389334348204696
detection,18,fwd_seg_size_avg_mean,-0.2389334348204696,0.2389334348204696
detection,18,flow_iat_std_max,-0.2351719689481444,0.2351719689481444
detection,18,bwd_pkts_per_sec_max,-0.2342434582790865,0.2342434582790865
detection,18,subflow_fwd_pkts_max,0.2318672367216558,0.2318672367216558
detection,18,bwd_pkt_len_min_sum,0.230757268439299,0.230757268439299
detection,18,fwd_header_len_sum,0.2284482531774628,0.2284482531774628
detection,18,bwd_pkt_len_max_sum,0.2269872492041909,0.2269872492041909
detection,18,packets_per_sec_mean,-0.2256555064360148,0.2256555064360148
detection,18,flow_iat_mean_sum,0.2245325063331206,0.2245325063331206
detection,18,bwd_pkt_len_mean_std,0.2218481574192761,0.2218481574192761
detection,18,bwd_seg_size_avg_std,0.2218481574021061,0.2218481574021061
detection,18,flow_iat_std_mean,-0.2193587796175099,0.2193587796175099
