rank,feature,mean_absolute_coefficient,max_absolute_coefficient,fold_count
302,window_size_bwd_min,0.03917623777605318,0.044257832298741,37
303,fwd_pkt_len_max_min,0.03855039218596836,0.0764861325992471,37
304,pkt_len_max_min,0.0380087672087108,0.0631478814436306,37
305,fwd_iat_std_min,0.03787545439644974,0.0689281001015039,37
306,bwd_iat_std_max,0.03668068035442134,0.0739636753945564,37
307,idle_min_sum,0.03650011473884542,0.0580522195094822,37
308,flow_iat_std_min,0.035558248290843114,0.0629206277694924,37
309,fwd_pkt_len_min_min,0.03538351311638042,0.0533009846469616,37
310,pkt_len_min_min,0.03427183754255471,0.0555524897041961,37
311,idle_min_min,0.03400263203365273,0.0536377759507151,37
312,window_size_fwd_min,0.032886426998303235,0.0491117925184843,37
313,fwd_pkt_len_min_max,0.03277869475981843,0.0773622688646395,37
314,flow_iat_min_min,0.03203529865725139,0.0461568594988896,37
315,bwd_iat_std_min,0.03161806810125508,0.048709999052202,37
316,pkt_len_mean_min,0.03061917252760987,0.0437594976209691,37
317,idle_std_min,0.030583867867105326,0.0502616586565271,37
318,bwd_iat_tot_min,0.030173913171552033,0.0411104590781881,37
319,flow_iat_mean_min,0.02866679391835491,0.045413783957,37
320,byte_count_fwd_mean,0.028537550682889497,0.2856472390077734,37
321,bwd_iat_mean_min,0.028076798435936905,0.0685967164999824,37
322,flow_iat_mean_max,0.025822447578757277,0.0725485971476869,37
323,bytes_per_sec_min,0.025609392740502935,0.0610234034467536,37
324,fwd_pkts_per_sec_min,0.02542761299653781,0.0373269958299653,37
325,idle_mean_min,0.02516130634679966,0.0384424226189948,37
326,fwd_iat_mean_min,0.025110623900396818,0.0442947237386787,37
327,pkt_size_avg_min,0.024820064363632034,0.0427050390299948,37
328,subflow_fwd_byts_min,0.024765625401991197,0.0486620923660698,37
329,active_std_min,0.024162161996211858,0.0294008671930445,37
330,fwd_iat_min_min,0.022612810059534066,0.041260286259799,37
331,fwd_iat_max_min,0.022246826559181917,0.042868956766743,37
332,flow_iat_max_min,0.022182078177222616,0.0427596096280978,37
333,idle_max_min,0.02200240830104671,0.0422604002506889,37
334,bwd_pkts_per_sec_min,0.021380992750365056,0.0341743219036803,37
335,bwd_pkt_len_min_max,0.021302099302751884,0.0355308436813133,37
336,active_min_min,0.021225311944472854,0.0306682728539905,37
337,ack_flag_cnt_min,0.020612866086476642,0.0384179970862398,37
338,fwd_psh_flags_min,0.020612866086476642,0.0384179970862398,37
339,syn_flag_cnt_min,0.020612866086476642,0.0384179970862398,37
340,pkt_payload_size_p25,0.020324748604703704,0.06699543361401,37
341,bwd_iat_max_min,0.019641452356248618,0.030435833799465,37
342,down_up_ratio_min,0.01961288096495411,0.027276173063612,37
343,active_max_min,0.01836895948854398,0.0284651805912667,37
344,fwd_pkt_len_mean_min,0.018130246837534763,0.0301890975677746,37
345,fwd_seg_size_avg_min,0.018130246837534763,0.0301890975677746,37
346,fwd_pkt_len_mean_max,0.017681965339871278,0.0223660910631525,37
347,fwd_seg_size_avg_max,0.017681965339871278,0.0223660910631525,37
348,psh_flag_cnt_min,0.01763258127908508,0.0279953923625303,37
349,fwd_header_len_min,0.016327244650285372,0.0618409198926537,37
350,active_mean_min,0.01631060978157122,0.0298314427738986,37
351,fin_flag_cnt_sum,0.014405693646154327,0.0684360842095003,37
